time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Volume,Volume MA,Conversion Line,Base Line,Lagging Span,Lead 1,Lead 2,Plot,Plot,Plot,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,Shapes,vwaprizz14,vwaprizz14_ema,Plot,Plot,RIZZY-2,a boaring middle line,a_boaring_line,a_boaring_line,buy,sell_sig,sell_sig,sell_sig,sell_sig,test,RSI
1383665400,8.33,8.33,8.33,8.33,8.352229675623953,8.370000000000013,8.497499999999997,NaN,NaN,100,487.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.85569912197257,43.29529223611822,47.85569912197257,43.29529223611822,40.838497555185064,50,90,10,0,0,0,0,0,1,40.838497555185064
1383751800,8.16,8.16,8.15,8.15,8.311783740499163,8.295000000000012,8.47083333333333,NaN,NaN,500,447.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.52581298777496,43.59269500300579,45.52581298777496,43.59269500300579,11.661643343022334,50,90,10,0,0,0,0,0,1,11.661643343022334
1384795800,8.14,8.15,8.14,8.15,8.27942699239933,8.230000000000011,8.444166666666662,NaN,NaN,200,437.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.30559830945542,42.621082110532406,36.30559830945542,42.621082110532406,11.661643343022334,50,90,10,0,0,0,0,0,1,11.661643343022334
1386091800,8.21,8.21,8.21,8.21,8.265541593919464,8.210000000000012,8.419499999999996,NaN,NaN,100,397.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.22578673231517,41.50170939343678,34.22578673231517,41.50170939343678,54.75844136720364,50,90,10,0,0,0,0,0,1,54.75844136720364
1386779400,8.49,8.49,8.49,8.49,8.310433275135571,8.250000000000012,8.402833333333328,NaN,NaN,400,370.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36.41760873271203,40.82382930534014,36.41760873271203,40.82382930534014,91.85330720844264,50,90,10,0,0,0,0,0,1,91.85330720844264
1388500200,8.67,9.07,8.67,9.07,8.462346620108457,8.480000000000013,8.401833333333329,NaN,NaN,200,370.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.89889340422115,43.500504518524274,60.89889340422115,43.500504518524274,98.14715189543644,50,90,10,0,0,0,0,0,1,98.14715189543644
1389371400,9.04,9.04,9.04,9.04,8.577877296086765,8.702500000000013,8.402499999999995,NaN,NaN,100,365.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78.73603555589344,48.19857532350683,78.73603555589344,48.19857532350683,90.8836864684315,50,90,10,0,1,0,1,0,0,90.8836864684315
1391452200,9.35,9.35,9.35,9.35,8.732301836869413,8.987500000000013,8.415833333333328,NaN,NaN,200,370.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79.4762868336383,52.36893685819103,79.4762868336383,52.36893685819103,96.39593716542771,50,90,10,0,1,0,1,0,0,96.39593716542771
1391801400,9.35,9.35,9.35,9.35,8.85584146949553,9.202500000000013,8.437499999999996,NaN,NaN,100,358.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.46757015697824,56.64875463136266,84.46757015697824,56.64875463136266,96.39593716542771,50,90,10,0,1,0,1,0,0,96.39593716542771
1392323400,9.35,9.35,9.35,9.35,8.954673175596424,9.272500000000013,8.459166666666665,NaN,NaN,100,345.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.946414920684,60.555109336605504,85.946414920684,60.555109336605504,96.39593716542771,50,90,10,0,1,0,1,0,0,96.39593716542771
